processed_text_stemmed,comments_count
след год цифров навигац сдела комфортн поездк пассажир нов рублев архангельск лин инновацион указател появ станц бульвар генера карбышев народн ополчен звенигородск шелепих делов центр вперв цифров навигац смогут пользова посетител крупн делов кластер столиц москв сит благодар эт смож добавля информац перспективн станц лин физическ зам дан указател ноч эффективн распределя поток пассажир подсказыва сам удобн маршрут конкретн точек регулярн обновля информац появлен нов мест притяжен станц,4.0
шаг будущ предприят тмх нача сборк нов поезд москв ран мэр москв серг собянин сообщ столичн метрополит продолж масштабн обновлен подвижн состав поезд москв соберут конц год придет испытан инфраструктур московск метр нов поезд сохран ключев преимуществ москв широк двер межвагон переход современ систем климат контрол адаптивн освещен больш количеств экран зарядк подсветк салон цвет лин мног друг москв частичн обнов пластик элемент интерьер салон стекл поручн входн групп корпус камер задн вид футуристическ освещен головн част состав,37.0
конц год столичн метрополит поступ вагон москв последн лет дол нов поезд метр выросл показател продолжа раст москв разработк российск специалист сам технологичн состав мир нем нужн знат плавн ход мощн климатическ систем удобн межвагон переход широк двер разъем зарядк устройств больш количеств мультимедийн экран машинист сенсорн экра эргономичн пульт управлен,35.0
открыт нов станц троицк лин метр пришл нов пассажир узна тыс человек станц зил крымск академическ вавиловск раньш пользова метрополитен стал свободн вход станц южн участк калужск рижск сокольническ лин,8.0
встреча соста москв замоскворецк лин продолжа обновля поезд столичн метр сегодн тыс вагон инновацион сер москв москв москв нача год московск метрополит получ сам современ вагон москв курсир замоскворецк троицк лин,14.0
безопасн эскалатор эт прост размест акцентн стикер эскалатор стойк ним может увидет одн сам востребова пересадочн узл комсомольск наход крупн вокзал переход мцд лин метр пассажир чемодан напомина врем поездк эскалатор нужн держа поручн приподнима длин одежд оставля багаж присмотр держа дет рук рук пожалуйст соблюда прав пользован эскалатор эт позвол остав приятн впечатлен поездк метр сохран здоров окружа пассажир,6.0
открыва метр нов выставк приуроч лет приокск террасн заповедник экспозиц заповедн калейдоскоп представл кадр дик природ сдела специалист заповедник профессиональн фотограф пассажир познаком главн символ заповедник зубр увид красочн снимк редк исчеза вид растен животн узна активн научн экол просветительск работ сотрудник заповедник выставк размест верхн ярус транспортн хаб делов центр посет ноябр включительн,0.0
московск метрополит главн перевозчик столиц люд пересажива личн автомобил метр котор год отмеча лет поч год сет метр выросл раз количеств станц учет мцк достигл числ живущ пеш доступн станц рельсов каркас лет выросл окол,3.0
тул пут встреча метр нов тематическ поезд котор посвят одн регион росс врем поездк пассажир смогут узна сам интересн туристическ мест тульск област усадьб парк музе попробова сам вкусн пряник пастил булочк связа композитор родион щедрин город алексин как сувенир подарк сто привезт родн близк путешеств соста курсирова арбатск покровск лин месяц,12.0
художниц стал сам активн участниц проект искусств метр последн месяц ан доброва алл архипов ольг качановск вдохновля пассажир сво творчеств сезон проект может познаком работ художник выставочн площадк метр например станц сокольник бкл недавн обнов экспозиц генеральн партнер оператор проект искусств метр объединен выставочн зал москв,3.0
