processed_text,comments_count
шаг будущее предприятие тмх начать сборка новый поезд москва ранее мэр москва сергей собянин сообщить столичный метрополитен продолжить масштабный обновление подвижный состав поезд москва собрать конец год прийти испытание инфраструктура московский метро новый поезд сохранить ключевой преимущество москва широкий дверь межвагонный переход современный система климат контроль адаптивный освещение большой количество экран зарядка подсветка салон цвет линия многое другой москва частично обновиться пластик элемент интерьер салон стекло поручень входной группа корпус камера задний вид футуристический освещение головной часть состав,37.0
конец год столичный метрополитен поступить вагон москва последний год доля новый поезд метро вырасти показатель продолжать расти москва разработка российский специалист самый технологичный состав мир немой нужно знать плавный ход мощный климатический система удобный межвагонный переход широкий дверь разъём зарядка устройство большой количество мультимедийный экран машинист сенсорный экран эргономичный пульт управление,35.0
открытие новый станция троицкий линия метро прислать новый пассажир узнать тыс человек станция зил крымский академический вавиловский ранний пользоваться метрополитен стать свободный вход станция южный участок калужско рижский сокольнический линия,8.0
встречать состав москва замоскворецкий линия продолжать обновлять поезд столичный метро сегодня тыс вагон инновационный серия москва москва москва начало год московский метрополитен получить самый современный вагон москва курсировать замоскворецкий троицкий линия,14.0
безопасность эскалатор это просто разместить акцентный стикер эскалатор стойка они мочь увидеть один самый востребовать пересадочный узел комсомольский находиться крупный вокзал переход мцд линия метро пассажир чемодан напоминать время поездка эскалатор нужно держаться поручень приподнимать длинный одежда оставлять багаж присмотр держать ребёнок рука рука пожалуйста соблюдать правило пользование эскалатор это позволить оставить приятный впечатление поездка метро сохранить здоровье окружающие пассажир,6.0
открывать метро новый выставка приурочить летие приокско террасный заповедник экспозиция заповедный калейдоскоп представить кадр дикий природа сделать специалист заповедник профессиональный фотограф пассажир познакомиться главный символ заповедник зубр увидеть красочный снимок редкий исчезать вид растение животное узнавать активный научный эколого просветительский работа сотрудник заповедник выставка разместить верхний ярус транспортный хаба деловой центр посетить ноябрь включительно,0.0
московский метрополитен главный перевозчик столица человек пересаживаться личный автомобиль метро который год отмечать год почему год сеть метро вырасти раз количество станция учёт мцк достигнуть число жить пеший доступность станция рельсовый каркас год вырасти около,3.0
тула путь встречать метро новый тематический поезд который посвятить один регион россия время поездка пассажир смочь узнать самый интересный туристический место тульский область усадьба парка музей попробовать самый вкусный пряник пастила булочка связать композитор родион щедрин город алексин какой сувенир подарок стоить привезти родный близкие путешествие состав курсировать арбатско покровский линия месяц,12.0
художница стать самый активный участница проект искусство метро последний месяц анна доброван алла архипов ольга качановский вдохновлять пассажир свой творчество сезон проект мочь познакомиться работа художник выставочный площадка метро например станция сокольник бкл недавно обновить экспозиция генеральный партнёр оператор проект искусство метро объединение выставочный зала москва,3.0
станция мичуринский проспект прекрасный любовь успенский подарить слушатель отличный настроение исполнить давний мечта встречать новый гость наш совместный москва проект звезда метро,8.0
подводить итог конкурс помощь генератор случайный число определить победитель екатерина степанов оксана исадченко анастасия валериевич открыть свой личный сообщение наш менеджер смочь вы связаться,5.0
диаметр становиться ваш транспортный привычка взглянуть цифра среднесуточный пассажиропоток мцд сентябрь год вырасти это тыс поездка аналогичный период прошлое год интерес диаметр расти среди тот пользоваться они давно такой пассажир совершать ежедневно тыс поездка день дело работа встреча прогулка отдых среди новый пассажир мцд переходить благодаря запуск центральный участок объединение разрозненный направление это тыс поездка день,0.0
начать утро ароматный кофе переделкино обед прогуляться парка победа закончить вечер шопинг москва сити вместе яндекс путешествие составить идеальный маршрут мцд гайда самый атмосферный локация около станция диаметр апрелевка железнодорожный этот маршрут ходить самый чёрный иволга просторный салон эргономичный кресло плавный ход создать ваш день пройти легко красиво ловить поезд мцд открывать новый место наслаждаться комфорт путь,6.0
тыс артист отправить заявка участие сезон проект музыка метро ноябрь пройти очный отбор экспертный жюри выбрать музыкант который быть радовать пассажир свой творчество специальный площадка метро основный партнёр конкурс прослушивание рамка проект являться московский международный дом музыка,12.0
сколько рельс сколько шпала рассказать действовать участок троицкий линия цифра станция новомосковский зил использовать бесстыковой рельс тыс железобетонный полушпала сигнальный кабель силовой кабель устройство атдп такой атдп рассказывать наш пост рубрика просто сложный,17.0
рост поток мцд опережать общероссийский показатель количество поездка столица направление мцд вырасти сравнение год это млн поездка рабочий день железный дорога москва давно перестать пригородный транспорт сегодня это комфортный современный востребовать средство передвижение благодаря интеграция другой вид московский транспорт городской сервис масштабный модернизация станция обновление подвижный состав постоянно улучшать московский центральный диаметр построить реконструировать московский городской вокзал создать удобный пересадка мцд метро мцк другой диаметр завершить масштабный программа обновление подвижный состав закупить поезд мера позволить мцд стать популярный вид транспорт поездка москва день запуск диаметр год количество внутригородской поездка вырасти раз сегодня составлять тыс,30.0
абсолютный рекорд сентябрь самый популярный месяц оплата проезд банковский карта прошлый месяц пассажир свыше млн оплатить проезд это способ турникет метро мцк банковский карта частый платить турист пассажир который совершать деловой поездка пассажир который нерегулярно пользоваться городской транспорт,13.0
юбилейный год принести метро новый рекорд станция самый длинный самый короткий название находиться троицкий линия абсолютный лидер краткость стать станция зил знак недавний время титул сохранять цска вднх филя знак соседка линия установить рекорд длина название станция университет дружба народ учёт пробел знак это самый длинный название московский метро полный запуск троицкий линия стать ключевой маршрут млн житель помочь разгрузить уличный дорожный сеть другой линия метро внести значительный вклад развитие тинао,23.0
отметить день отец московский метро вместе московский дворец пионер открыть тематический выставка детский картина ребята изобразить проводить время папа играть путешествовать гулять радоваться каждый день экспозиция разместить станция динамо замоскворецкий линия петровский парк бкл приходить посмотреть октябрь включительно станция таганский рамка проект музыка метро выступить юный артист детский хор попов исполнить любимый весь композиция папа свет нету чунг чанга подарить пассажир атмосфера тепло уют маршрутный табло состав появиться поздравительный надпись день папа мочь видеть поезд который курсировать сокольнический арбатско покровский бутовский линия,3.0
это высота шуховский башня колесо обозрение солнце москва длина вагонный состав москва столичный метрополитен тыс инновационный вагон серия москва москва москва сегодня около поезд современный поколение планироваться год показатель составить интересный факт состав москва вместимость около тыс человек благодаря широкий дверной проём посадка высадка вагон происходить быстрый сравнение номерной ширина дверь сквозной проход легко попасть один конец поезд например пройти вагон близкий нужный выход переход год московский метро отмечать год это время поезд метрополитен измениться стать комфортный пассажир,17.0
наш сосед темп развитие участок петербургский метрополитен открыть спустя год запуск московский метро который год отпраздновать год год метро северный столица бесперебойно служить миллион горожанин станция оно вырасти станция линия последний год наш коллега проделать колоссальный работа запустить движение приморский новый станция беговой зенит построить новый станция горный институт открыть участок станция международный станция шушара также санкт петербург вестись строительство единый диспетчерский центр начать работа год кроме активно обновлять подвижный состав план год закупить современный вагон линия метро выходить поезд новый поколение нева юбилейный балтиец московский метрополитен тесно сотрудничать петербургский год коллектив обмениваться бесценный опыт знание сделать поездка комфортный безопасный пассажир каждый метрополитен свой уникальный история неповторимый характер однако удивительно схожий давать узнать какой станция пассажир москва санкт петербург почувствовать дом,13.0
